epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.297,1.63748,3.6405,1.67334,0.01344,0.66176,0.13409,0.08289,1.37446,3.62495,1.5954,0.0001111,0.0001111,0.0001111
2,543.549,1.36796,3.0776,1.46503,0.01456,0.89742,0.22091,0.13449,1.22748,3.20401,1.28221,0.00022869,0.00022869,0.00022869
3,962.805,1.38827,2.61877,1.4247,0.0193,0.97461,0.32389,0.20501,1.29593,3.07763,1.37528,0.000341441,0.000341441,0.000341441
4,1430.71,1.33496,2.28414,1.42176,0.85884,0.16199,0.3521,0.22931,1.13129,2.74854,1.25196,0.000449353,0.000449353,0.000449353
5,1877.34,1.32292,2.06096,1.39925,0.34803,0.38087,0.39394,0.25066,1.31233,2.5098,1.4756,0.000552425,0.000552425,0.000552425
6,2390.16,1.25083,1.90869,1.34062,0.38537,0.37894,0.44819,0.27203,1.23018,2.45102,1.34457,0.000650657,0.000650657,0.000650657
7,2927.08,1.29286,1.8464,1.37764,0.4276,0.42608,0.45571,0.26085,1.16244,2.28224,1.36162,0.00074405,0.00074405,0.00074405
8,3468.24,1.28913,1.65019,1.37119,0.72652,0.32576,0.35448,0.18716,1.27095,2.72461,1.4552,0.000832603,0.000832603,0.000832603
9,3888.52,1.31272,1.71696,1.3696,0.70621,0.37276,0.49911,0.30031,1.17985,2.53373,1.29625,0.000916317,0.000916317,0.000916317
10,4233.27,1.21875,1.54398,1.34016,0.5729,0.62485,0.67916,0.40738,1.16144,1.993,1.38439,0.00091302,0.00091302,0.00091302
11,4567.77,1.25574,1.43299,1.32935,0.77856,0.72935,0.80455,0.5035,1.2701,1.69278,1.48349,0.000891022,0.000891022,0.000891022
12,4730.31,1.24082,1.38742,1.33937,0.77763,0.60783,0.7313,0.46505,1.20687,1.61282,1.44817,0.000869024,0.000869024,0.000869024
